,Open Price,PM Beginning Price,PM High Price,Prior Day Price Action Trend,Premarket Move Change Classification,Premarket Move Time Classification,LOD move
0,1.52,1.43,1.82,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.031358885017421706
1,5.12,4.62,5.4,Sideways,Medium-Small Retracement,Sudden Downmove,-0.052550608806589
2,7.14,7.05,8.2,Uptrending,Full Retracement,Equal Uptrend/Downtrend,-0.049612403100775235
3,2.74,2.58,3.05,Sideways,Medium Retracement,Medium Downtrend,-0.011316746333292592
4,135.91,136.68,159.47,Slight Uptrend,Full Retracement,Long Downtrend,-0.0016501045066187109
5,3.65,3.63,4.2,Sideways,Full Retracement,Long Downtrend,
6,1.26,1.18,1.53,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.036437246963562875
7,2.08,2.08,2.59,Sideways,Full Retracement,Medium Downtrend,-0.02244389027431418
8,2.22,2.22,2.6,Sideways,Full Retracement,Sudden Upmove to Fade,-0.01376146788990837
9,2.15,1.98,2.38,Uptrending,Medium Retracement,Equal Uptrend/Downtrend,-0.033034528552456886
10,3.15,3.0,3.4,Slight Downtrend,Medium Retracement,Medium Downtrend,-0.0012756814824761735
11,27.13,22.18,28.0828,Sideways,Small Retracement,Sudden Downmove,-0.022649046020481803
12,4.85,4.81,6.0,Sideways,Full Retracement,Sudden Upmove to Fade,-0.042553191489361736
13,2.92,2.29,3.18,Slight Downtrend,Medium-Small Retracement,Sudden Upmove to Fade,-0.023569023569023663
14,7.3,7.07,8.1,Sideways,Full Retracement,Long Downtrend,-0.020172910662824287
15,2.04,1.99,2.2,Slight Downtrend,Full Retracement,Medium Downtrend,-0.024875621890547178
16,1.64,2.12,2.64,Slight Uptrend,Back to where it came from,Sudden Upmove to Fade,-0.06666666666666665
17,3.88,3.54,4.8,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.0491803278688525
18,4.74,4.28,5.4,Downtrending,Medium Retracement,Sudden Upmove to Fade,-0.04570791527313268
19,2.35,2.04,2.62,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.05045871559633042
20,3.35,2.45,4.77,Extreme Uptrend,Medium-Small Retracement,Medium Downtrend,-0.04242424242424233
21,4.7,4.21,5.05,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.09532779832089117
22,14.88,5.89,16.9,Slight Uptrend,Barely Retraces,Sudden Downmove,-0.23689877961234737
23,2.76,2.83,3.0,Slight Downtrend,Full Retracement,Sudden Upmove to Fade,-0.0036968576709797527
24,7.4758,7.1,8.2,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.020547945205479378
25,2.05,1.71,2.35,Slight Downtrend,Medium Retracement,Medium Downtrend,-0.017130019657399593
26,2.12,1.9,2.25,Uptrending,Medium-Small Retracement,Long Downtrend,
27,2.56,2.67,4.26,Extreme Uptrend,Full Retracement,Equal Uptrend/Downtrend,-0.10297482837528608
28,5.3135,4.5,6.94,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.04085603112840466
29,1.3,1.18,1.6,Sideways,Medium Retracement,Sudden Upmove to Fade,
30,5.8,5.2,6.39,Slight Downtrend,Medium Retracement,Long Downtrend,-0.018934057248891766
31,1.73,1.7,2.26,Slight Downtrend,Full Retracement,Sudden Upmove to Fade,-0.11607093530744154
32,3.13,2.5,3.13,Large Uptrend,Barely Retraces,Sudden Downmove,-0.057425742574257435
33,4.88,4.4,6.46,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.25000000000000006
34,3.16,3.13,4.84,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.029676558852950972
35,1.6,1.48,1.89,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.006410256410256416
36,4.5,2.9,4.52,Large Uptrend,Barely Retraces,Sudden Downmove,-0.1646191646191647
37,5.95,6.64,7.9,Large Uptrend,Full Retracement,Medium Uptrend then downmove,-0.16822429906542047
38,4.49,4.38,5.1,Sideways,Full Retracement,Sudden Upmove to Fade,
39,1.22,1.07,1.76,Large Uptrend,Medium Retracement,Medium Downtrend,-0.1344624309909235
40,2.85,2.77,3.3,Sideways,Full Retracement,Sudden Upmove to Fade,-0.013986013986014
41,3.73,1.98,4.29,Sideways,Small Retracement,Equal Uptrend/Downtrend,-0.060615677562678466
42,3.3,2.05,3.98,Extreme Uptrend,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.06115702479338845
43,13.44,10.24,13.55,Sideways,Barely Retraces,Sudden Upmove to Fade,-0.0033345683586513473
44,9.2,7.96,9.83,Sideways,Medium-Small Retracement,Sudden Downmove,-0.09147869674185469
45,6.56,5.15,7.32,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.05434782608695649
46,42.9,35.02,43.1,Slight Downtrend,Barely Retraces,Equal Uptrend/Downtrend,-0.0017513134851139015
47,23.86,20.4,24.0,Sideways,Barely Retraces,Sudden Downmove,-0.018412438625204697
48,10.2,9.1,10.6,Sideways,Medium-Small Retracement,Sudden Downmove,
49,5.22,5.35,6.44,Sideways,Full Retracement,Medium Downtrend,-0.07480314960629919
50,1.9,1.78,2.05,Uptrending,Medium Retracement,Medium Downtrend,-0.028248587570621493
51,1.28,1.12,1.3502,Slight Uptrend,Medium-Small Retracement,Sudden Downmove,-0.06086956521739117
52,10.38,9.26,10.75,Large Uptrend,Medium-Small Retracement,Medium Downtrend,-0.011055276381909491
53,4.09,3.45,5.25,Sideways,Medium Retracement,Long Downtrend,-0.17073170731707316
54,14.2,14.3,16.79,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.10921717171717174
55,2.27,2.05,3.24,Slight Uptrend,Medium Retracement,Medium Downtrend,-0.03713892709766154
56,9.72,8.24,11.22,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.022815608599222523
57,42.8792,38.96,51.0,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.004440289787333436
58,1.25,1.25,1.73,Uptrending,Full Retracement,Sudden Upmove to Fade,-0.02136682433534497
59,40.0,38.88,47.5,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.09324909324909324
60,1.36,1.42,1.8,Sideways,Full Retracement,Long Downtrend,-0.15853658536585366
61,9.0,7.3,9.39,Extreme Uptrend,Small-Medium Retracement,Long Uptrend then downmove,-0.10202837437923108
62,2.67,2.49,3.34,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.05890292827415554
63,60.11,41.0,60.36,Sideways,Barely Retraces,Medium Uptrend then downmove,-0.0006635700066356859
64,6.0,5.8,6.9,Downtrending,Full Retracement,Equal Uptrend/Downtrend,-0.10870724461034519
65,2.2,2.5,3.0,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.058823529411764754
66,4.91,3.9,5.79,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,-0.017777777777777795
67,1.24,1.24,1.55,Sideways,Full Retracement,Equal Uptrend/Downtrend,-0.15027537372147903
68,5.55,5.51,7.21,Extreme Uptrend,Full Retracement,Sudden Upmove to Fade,-0.04307133989112793
69,4.3,4.01,4.6,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.03211009174311939
70,3.09,1.79,3.25,Sideways,Barely Retraces,Sudden Downmove,-0.13226621735467567
71,1.981,0.85,3.64,Extreme Uptrend,Small Retracement,Sudden Upmove to Fade,-0.16599190283400814
72,13.04,7.3,14.11,Large Uptrend,Barely Retraces,Medium Uptrend then downmove,-0.07090909090909085
73,4.99,5.64,8.05,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.07721361431821107
74,42.79,40.0,47.91,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.026379477250726122
75,3.32,1.63,3.4,Sideways,Barely Retraces,Long Uptrend then downmove,-0.027343749999999938
76,12.5,8.35,17.77,Extreme Uptrend,Medium-Small Retracement,Medium Downtrend,-0.1739574543678109
77,4.79,4.38,5.7,Extreme Uptrend,Medium Retracement,Medium Downtrend,-0.08787437115050076
78,4.0,3.65,4.7,Uptrending,Medium Retracement,Equal Uptrend/Downtrend,-0.060303023272001675
79,12.58,12.11,13.5,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.029378099961846607
80,3.09,2.99,3.32,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.00967741935483879
