,Stock,Date
0,AREC,2020-10-30 09:30:00-04:00
1,MGI,2020-10-30 09:30:00-04:00
2,EQ,2020-10-30 09:30:00-04:00
3,TRVN,2020-10-30 09:30:00-04:00
4,IPHI,2020-10-29 09:30:00-04:00
5,ONCS,2020-10-29 09:30:00-04:00
6,VSTM,2020-10-29 09:30:00-04:00
7,XSPA,2020-10-28 09:30:00-04:00
8,OPGN,2020-10-28 09:30:00-04:00
9,ASTC,2020-10-28 09:30:00-04:00
10,APTX,2020-10-28 09:30:00-04:00
11,TUP,2020-10-28 09:30:00-04:00
12,GMBL,2020-10-26 09:30:00-04:00
13,BSGM,2020-10-26 09:30:00-04:00
14,KNDI,2020-10-26 09:30:00-04:00
15,XSPA,2020-10-26 09:30:00-04:00
16,ALRN,2020-10-26 09:30:00-04:00
17,SLDB,2020-10-23 09:30:00-04:00
18,LLNW,2020-10-23 09:30:00-04:00
19,BIMI,2020-10-23 09:30:00-04:00
20,EVK,2020-10-23 09:30:00-04:00
21,AMTX,2020-10-23 09:30:00-04:00
22,SQBG,2020-10-22 09:30:00-04:00
23,AMRS,2020-10-22 09:30:00-04:00
24,KNDI,2020-10-22 09:30:00-04:00
25,ADIL,2020-10-22 09:30:00-04:00
26,ALRN,2020-10-22 09:30:00-04:00
27,EVK,2020-10-22 09:30:00-04:00
28,BPTH,2020-10-22 09:30:00-04:00
29,AVCO,2020-10-22 09:30:00-04:00
30,UONE,2020-10-22 09:30:00-04:00
31,SNGX,2020-10-22 09:30:00-04:00
32,ASTC,2020-10-22 09:30:00-04:00
33,ASTC,2020-10-21 09:30:00-04:00
34,NTWK,2020-10-21 09:30:00-04:00
35,GRNQ,2020-10-21 09:30:00-04:00
36,CBLI,2020-10-20 09:30:00-04:00
37,APTX,2020-10-20 09:30:00-04:00
38,JAKK,2020-10-20 09:30:00-04:00
39,ACOR,2020-10-20 09:30:00-04:00
40,THMO,2020-10-19 09:30:00-04:00
41,BIMI,2020-10-19 09:30:00-04:00
42,KXIN,2020-10-19 09:30:00-04:00
43,RESI,2020-10-19 09:30:00-04:00
44,EDSA,2020-10-19 09:30:00-04:00
45,GTT,2020-10-16 09:30:00-04:00
46,NAV,2020-10-16 09:30:00-04:00
47,CIT,2020-10-16 09:30:00-04:00
48,EIGR,2020-10-15 09:30:00-04:00
49,AVXL,2020-10-15 09:30:00-04:00
50,AREC,2020-10-15 09:30:00-04:00
51,IPDN,2020-10-15 09:30:00-04:00
52,ATEC,2020-10-14 09:30:00-04:00
53,IDXG,2020-10-14 09:30:00-04:00
54,ALT,2020-10-13 09:30:00-04:00
55,SOS,2020-10-13 09:30:00-04:00
56,PECK,2020-10-13 09:30:00-04:00
57,INMD,2020-10-13 09:30:00-04:00
58,BRQS,2020-10-12 09:30:00-04:00
59,LMPX,2020-10-12 09:30:00-04:00
60,MMLP,2020-10-09 09:30:00-04:00
61,WWR,2020-10-09 09:30:00-04:00
62,MVIS,2020-10-09 09:30:00-04:00
63,EV,2020-10-08 09:30:00-04:00
64,UONE,2020-10-08 09:30:00-04:00
65,IO,2020-10-08 09:30:00-04:00
66,CPSS,2020-10-08 09:30:00-04:00
67,IPDN,2020-10-08 09:30:00-04:00
68,PPSI,2020-10-07 09:30:00-04:00
69,POLA,2020-10-07 09:30:00-04:00
70,AREC,2020-10-07 09:30:00-04:00
71,RAVE,2020-10-07 09:30:00-04:00
72,PECK,2020-10-07 09:30:00-04:00
73,AXGT,2020-10-06 09:30:00-04:00
74,VIR,2020-10-06 09:30:00-04:00
75,PPSI,2020-10-06 09:30:00-04:00
76,WWR,2020-10-06 09:30:00-04:00
77,CBAT,2020-10-06 09:30:00-04:00
78,POLA,2020-10-06 09:30:00-04:00
79,CLSK,2020-10-06 09:30:00-04:00
80,MGI,2020-10-06 09:30:00-04:00
81,MICT,2020-10-06 09:30:00-04:00
82,FCEL,2020-10-06 09:30:00-04:00
83,MYOK,2020-10-05 09:30:00-04:00
84,ENLV,2020-10-05 09:30:00-04:00
85,LAC,2020-10-05 09:30:00-04:00
86,KOS,2020-10-05 09:30:00-04:00
87,WWR,2020-10-05 09:30:00-04:00
88,IMGN,2020-10-05 09:30:00-04:00
89,GRNQ,2020-10-05 09:30:00-04:00
90,GAN,2020-10-05 09:30:00-04:00
91,LTHM,2020-10-05 09:30:00-04:00
92,BIOC,2020-10-05 09:30:00-04:00
93,BOXL,2020-10-05 09:30:00-04:00
94,CRVS,2020-10-05 09:30:00-04:00
95,VXRT,2020-10-02 09:30:00-04:00
96,ADIL,2020-10-02 09:30:00-04:00
97,NBEV,2020-10-02 09:30:00-04:00
98,CEMI,2020-10-02 09:30:00-04:00
99,HMHC,2020-10-01 09:30:00-04:00
100,ECOR,2020-10-01 09:30:00-04:00
101,SLDB,2020-10-01 09:30:00-04:00
102,BBBY,2020-10-01 09:30:00-04:00
103,AEL,2020-10-01 09:30:00-04:00
104,CPE,2020-10-01 09:30:00-04:00
