,Market Capitalization,Current Liabilities,Shares,Cash,Operating Expenses,Current Ratio,PE Ratio,Earnings/Share,Debt/Equity,Debt,Current Debt,Interest Expense,Revenue,Price/Sales
0,16238436.0,34470517.0,27337435.0,1014827.0,5019077.0,0.076,0.152,-0.3,8.54,26740638.0,21911308.0,901810.0,1847279.0,0.617
1,93255123.0,,63438859.0,131000000.0,123400000.0,,-1.564,-0.28,-15.552,877500000.0,,23800000.0,290900000.0,0.07400000000000001
2,48274939.0,3883000.0,17618591.0,13219000.0,7616000.0,14.275,-1.864,-0.43,0.327,9681000.0,0.0,277000.0,0.0,
3,68252666.0,9107000.0,97727185.0,33614000.0,6501000.0,4.1160000000000005,-2.5869999999999997,-0.07,0.562,12841000.0,5037000.0,117000.0,31000.0,2201.699
4,3507916237.0,291777000.0,46077975.0,282723000.0,70448000.0,1.9040000000000001,-47.286,-0.29,1.8159999999999998,476178000.0,217467000.0,8974000.0,102896000.0,9.594
5,27985970.0,10487935.0,22752821.0,9256351.0,13476825.0,1.1640000000000001,-0.324,-1.27,5.233,6768274.0,640253.0,78.0,0.0,
6,362121344.0,29890000.0,148410387.0,78755000.0,36184000.0,2.842,-1.22,-0.51,19.218,104043000.0,420000.0,5452000.0,3616000.0,20.745
7,44115082.0,16220000.0,86500160.0,2635000.0,11701000.0,0.242,-0.11800000000000001,2.0,-5.01,15257000.0,3669000.0,848000.0,10846000.0,0.909
8,37341639.0,4938541.0,11930236.0,2708223.0,2966092.0,1.35,-0.406,5.62,1.4269999999999998,3159987.0,1970043.0,44877.0,820674.0,10.673
9,13331088.0,2678000.0,6348137.0,1004000.0,2049000.0,0.754,-1.641,-0.35,13.887,2553000.0,1801000.0,0.0,205000.0,45.498999999999995
10,105639882.0,4896000.0,45534432.0,99028000.0,15131000.0,21.468000000000004,-1.357,-0.41,0.051,0.0,0.0,0.0,918000.0,28.79300000000001
11,141650342.0,829900000.0,49013959.0,174500000.0,246900000.0,0.768,-4.379,-0.16,-4.558,1045200000.0,389700000.0,10200000.0,375900000.0,0.084
12,20298168.0,,6226432.0,53283.0,736009.0,,-3.9760000000000004,-0.52,-1.032,3356054.0,,1550418.0,0.0,
13,79713833.0,2029542.0,25965418.0,12210421.0,15236101.0,6.32,-1.861,-0.69,0.22899999999999998,2752961.0,412288.0,0.0,0.0,
14,209812281.0,131873739.0,52849441.0,16512635.0,9210626.0,1.483,-28.357,-0.15,0.7040000000000001,64879141.0,50525349.0,3518672.0,61838102.0,1.546
15,44115082.0,16220000.0,86500160.0,2635000.0,11701000.0,0.242,-0.11800000000000001,2.0,-5.01,15257000.0,3669000.0,848000.0,10846000.0,0.909
16,10325986.0,5839000.0,27810358.0,5336000.0,7349000.0,3.3480000000000003,-0.309,-0.25,0.65,5032000.0,446000.0,0.0,0.0,
17,134518703.0,18276000.0,46068049.0,76370000.0,32330000.0,4.7219999999999995,-1.003,-0.65,0.293,7069000.0,1922000.0,0.0,0.0,
18,660515936.0,35427000.0,119658684.0,21421000.0,25735000.0,1.9,-55.2,-0.04,0.3,15029000.0,2046000.0,10000.0,57012000.0,3.0810000000000004
19,32028710.0,14557224.0,9073289.0,245879.0,359307.0,0.358,-1.6119999999999999,-0.07,1.4609999999999999,5656208.0,5656208.0,174488.0,208402.0,5.476
20,15989219.0,173984000.0,14804832.0,48551000.0,34202000.0,1.229,12.0,0.07,1.5130000000000001,83356000.0,74819000.0,186000.0,104503000.0,0.042
21,13393900.0,57819000.0,20571187.0,656000.0,4754000.0,0.218,-0.3720000000000001,-0.33,-1.6469999999999998,202425000.0,22740000.0,5517000.0,52102000.0,0.066
22,13510710.0,40442000.0,65905900.0,8307000.0,22078000.0,1.455,-0.387,-0.12,4.838,503203000.0,15785000.0,12966000.0,24245000.0,0.133
