,Num. Active ATMs (all time),Num. Active 424s (all time),Num. Active 424B5s (past year),Num. Active 424B3s (past year),Shares Raised in the Past Year,Dollars Raised in the Past Year,Current Offering (shares),Current Offering (cash),ATM Present,Offering Present
0,0,0,0,[],0.0,0.0,0.0,0.0,False,False
1,0,0,0,[],0.0,0.0,0.0,0.0,False,False
2,2,3,2,3,0.0,8.97,5000000.0,150000000.0,True,True
3,0,0,0,[],0.0,0.0,0.0,0.0,False,False
4,0,0,0,[],0.0,0.0,0.0,0.0,False,False
5,0,1,0,1,0.0,0.0,4608589.0,0.0,False,True
6,0,0,0,[],0.0,0.0,0.0,0.0,False,False
7,1,9,0,7,63088238.0,0.0,19932463.0,50000000.0,True,True
8,3,4,3,4,0.0,37800000.0,450000.0,4200000.0,True,True
9,2,4,1,3,873335.0,0.0,354000.0,6602390.0,True,True
10,0,0,0,[],0.0,0.0,0.0,0.0,False,False
11,0,0,0,[],0.0,0.0,0.0,0.0,False,False
12,0,0,0,[],0.0,0.0,0.0,0.0,False,False
13,0,0,0,[],0.0,0.0,0.0,0.0,False,False
14,0,0,0,[],0.0,0.0,0.0,0.0,False,False
15,1,9,0,7,63088238.0,0.0,19932463.0,50000000.0,True,True
16,3,4,3,4,0.0,4194700.16,9090910.0,0.0,False,True
17,0,1,0,1,0.0,0.0,12903224.0,0.0,False,True
18,0,2,0,0,0.0,0.0,15272493.0,0.0,False,True
19,0,0,0,[],0.0,0.0,0.0,0.0,False,False
20,0,0,0,[],0.0,0.0,0.0,0.0,False,False
21,1,1,1,1,0.0,0.0,0.0,16000000.0,True,True
22,0,0,0,[],0.0,0.0,0.0,0.0,False,False
23,0,1,0,0,0.0,0.0,3616174.0,0.0,False,True
24,0,0,0,[],0.0,0.0,0.0,0.0,False,False
25,0,0,0,[],0.0,0.0,0.0,0.0,False,False
26,3,4,3,4,0.0,4194700.16,9090910.0,0.0,False,True
27,0,0,0,[],0.0,0.0,0.0,0.0,False,False
28,2,4,1,2,0.0,0.0,5149.0,25000000.0,True,True
29,0,0,0,[],0.0,0.0,0.0,0.0,False,False
30,0,0,0,[],0.0,0.0,0.0,0.0,False,False
31,0,0,0,[],0.0,0.0,0.0,0.0,False,False
32,2,4,1,3,873335.0,0.0,354000.0,6602390.0,True,True
33,2,4,1,3,873335.0,0.0,354000.0,6602390.0,True,True
34,0,0,0,[],0.0,0.0,0.0,0.0,False,False
35,0,0,0,[],0.0,0.0,0.0,0.0,False,False
36,1,2,1,2,0.0,0.0,1515878.0,50000000.0,True,True
37,0,0,0,[],0.0,0.0,0.0,0.0,False,False
38,0,0,0,[],0.0,0.0,0.0,0.0,False,False
39,0,3,0,3,167106828.0,0.0,9598979.0,0.0,False,True
40,2,3,2,3,0.0,15000000.0,1000002.0,4400000.0,True,True
41,0,0,0,[],0.0,0.0,0.0,0.0,False,False
42,0,0,0,[],0.0,0.0,0.0,0.0,False,False
43,0,0,0,[],0.0,0.0,0.0,0.0,False,False
44,0,0,0,[],0.0,0.0,0.0,0.0,False,False
45,0,0,0,[],0.0,0.0,0.0,0.0,False,False
46,0,0,0,[],0.0,0.0,0.0,0.0,False,False
47,0,0,0,[],0.0,0.0,0.0,0.0,False,False
48,3,5,1,1,0.0,0.0,3200000.0,0.0,False,True
