,Shares Outstanding,Float Shares,Float Percentage,IO%,Insider%,Months Left,Accumulated Deficit,Net Working Capital
0,35600000.0,6575319.999999999,0.1847,2.76,78.77,0.6200614442323427,-82985942.0,-31857971.0
1,72520000.0,40495168.0,0.5584,28.68,15.48,,,
2,24260000.0,17035372.0,0.7022,24.83,4.95,5.322776610644258,-41112000.0,51548000.0
3,157030000.0,136663209.0,0.8703,11.31,1.66,15.856473363072348,-413145000.0,28381000.0
4,52100000.0,8085920.0000000065,0.15520000000000012,81.96,2.52,12.307193958664547,-242807000.0,263848000.0
5,27690000.0,24237057.0,0.8753,1.8,10.67,2.1062930672963898,-187751383.0,1716173.0
6,169530000.0,131317938.0,0.7746,20.59,1.95,6.674644410052326,-524785000.0,55071000.0
7,68790000.0,61484502.0,0.8938,1.19,9.43,0.6905962453351566,-308136000.0,-12287000.0
8,19800000.0,17330940.0,0.8753,1.8,10.67,2.800053808175876,-174524983.0,1728762.0
9,15670000.0,2894248.9999999995,0.1847,2.76,78.77,1.5026517000162682,-195619000.0,-660000.0
10,63060000.0,52894728.0,0.8388,12.84,3.28,20.07044257925231,-162948000.0,100213000.0
11,49180000.0,21319530.0,0.4335,51.79,4.86,2.143850411772647,1054700000.0,-192300000.0
12,12540000.0,11560626.0,0.9219,0.39,7.42,0.0,-16092617.0,
13,29800000.0,22618200.0,0.759,14.77,9.33,2.45766886598262,-104786769.0,10797951.0
14,54610000.0,48575595.0,0.8895,6.48,4.57,5.497861636476537,-16685736.0,63698697.0
15,68790000.0,61484502.0,0.8938,1.19,9.43,0.6905962453351566,-308136000.0,-12287000.0
16,39870000.0,37836630.0,0.9490000000000001,1.97,3.13,2.226661223749263,-198135000.0,13711000.0
17,53930000.0,37621568.0,0.6976,11.08,19.16,7.244087019280339,-316279000.0,68026000.0
18,122970000.0,24544812.00000001,0.1996000000000001,63.76,16.28,2.5248507221034906,-359913000.0,31878000.0
19,10380000.0,3550997.9999999995,0.3421,0.11,65.68,2.0985645515766,-8417261.0,-9344148.0
20,14810000.0,10399582.0,0.7022,24.83,4.95,4.353246398846071,106328000.0,39771000.0
21,21030000.0,10962939.000000002,0.5213000000000001,4.69,43.18,0.4231664563174871,-237421000.0,-45243000.0
22,1650000.0,1151040.0,0.6976,11.08,19.16,1.1538545158075912,-394126000.0,18384000.0
23,204730000.0,194288770.0,0.9490000000000001,1.97,3.13,0.04558700272899778,-1755653000.0,-87526000.0
24,54610000.0,48575595.0,0.8895,6.48,4.57,5.497861636476537,-16685736.0,63698697.0
25,13790000.0,9829512.0,0.7128,26.28,2.44,9.939805051966905,-20626799.0,7134416.0
26,39870000.0,37836630.0,0.9490000000000001,1.97,3.13,2.226661223749263,-198135000.0,13711000.0
